EstablecimientoCodigoAntiguo;EstablecimientoCodigo;EstablecimientoCodigoMadreAntiguo;EstablecimientoCodigoMadreNuevo;RegionCodigo;RegionGlosa;SeremiSaludCodigo_ServicioDeSaludCodigo;SeremiSaludGlosa_ServicioDeSaludGlosa;TipoPertenenciaEstabGlosa;TipoEstablecimientoGlosa;AmbitoFuncionamiento;EstablecimientoGlosa;Certificacion;DependenciaAdministrativa;NivelAtencionEstabglosa;ComunaCodigo;ComunaGlosa;TipoViaGlosa;Numero;NombreVia;TelefonoMovil_TelefonoFijo;FechaInicioFuncionamientoEstab;TieneServicioUrgencia;TipoUrgencia;ClasificacionTipoSapu;Latitud;Longitud;TipoSistemaSaludGlosa;EstadoFuncionamiento;NivelComplejidadEstabGlosa;TipoAtencionEstabGlosa;FechaIncorporacion;FechaCierre
16-050;116050;;;07;Maule;16;Servicio de Salud Del Maule;Perteneciente al Sistema Nacional de Servicios de Salud;Puesto de Atención Médica Especializado (PAME) Incorporado por Crisis Sanitaria;Establecimiento de Salud;Puesto Avanzado Militar de Emergencia (Talca);No Aplica;Fuerzas Armadas y de Orden (FFAA);Primario;07101;Talca;Calle;;;;01-03-2010;NO;;;;;Fuerzas Armadas y de Orden;Cerrado;;;;31-12-2012
16-051;116051;;;07;Maule;16;Servicio de Salud Del Maule;Perteneciente al Sistema Nacional de Servicios de Salud;Puesto de Atención Médica Especializado (PAME) Incorporado por Crisis Sanitaria;Establecimiento de Salud;Puesto Avanzado Militar de Emergencia (Curicó);No Aplica;Fuerzas Armadas y de Orden (FFAA);Primario;07301;Curicó;Calle;;;;01-03-2010;NO;;;;;Fuerzas Armadas y de Orden;Cerrado;;;;31-12-2012
16-052;116052;;;07;Maule;16;Servicio de Salud Del Maule;Perteneciente al Sistema Nacional de Servicios de Salud;Puesto de Atención Médica Especializado (PAME) Incorporado por Crisis Sanitaria;Establecimiento de Salud;Puesto Avanzado Militar de Emergencia (Constitución);No Aplica;Fuerzas Armadas y de Orden (FFAA);Primario;07102;Constitución;Calle;;;;01-03-2010;NO;;;;;Fuerzas Armadas y de Orden;Cerrado;;;;31-12-2012
16-053;116053;16-010;116010;07;Maule;16;Servicio de Salud Del Maule;Perteneciente al Sistema Nacional de Servicios de Salud;Dispositivo Incorporado por Crisis Sanitaria;Establecimiento de Salud;Hospital Militar de Campaña (Talca);No Aplica;Servicio de Salud;Terciario;07101;Talca;Calle;;;;01-03-2010;NO;;;;;Público;Cerrado;;;;31-12-2012
16-054;116054;16-010;116010;07;Maule;16;Servicio de Salud Del Maule;Perteneciente al Sistema Nacional de Servicios de Salud;Dispositivo Incorporado por Crisis Sanitaria;Establecimiento de Salud;Hospital Militar de Campaña (Argentina);No Aplica;Servicio de Salud;Terciario;07301;Curicó;Calle;;;;01-03-2010;NO;;;;;Público;Cerrado;;;;01-01-2011
16-202;116202;;;07;Maule;07;SEREMI de Salud del Maule;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro Corporación para la Nutrición Infantil (CONIN);Establecimiento de Salud;Centro CONIN Curicó;No Aplica;Privado;Secundario;07301;Curicó;Calle;737;Buen Pastor;722583670;01-01-2009;NO;No Aplica;No Aplica;;;Privado;Cerrado;Mediana Complejidad;Atención Cerrada-Hospitalaria;;30-11-2013
16-208;116208;;;07;Maule;07;SEREMI de Salud del Maule;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica del Maule;No Aplica;Privado;Secundario;07101;Talca;Calle;1650;4 Norte;712201800;01-01-2009;NO;;;;;Privado;Cerrado;;;;10-06-2019
16-237;116237;;;07;Maule;07;SEREMI de Salud del Maule;No Perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Establecimiento de Salud;Vacunatorio Enfermería Integral;No Aplica;Privado;Primario;07301;Curicó;Calle;747;Membrillar;;01-01-2009;NO;No Aplica;No Aplica;;;Privado;Cerrado;;;;01-01-2017
16-263;116263;;;07;Maule;07;SEREMI de Salud del Maule;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Regional de Curicó;No Aplica;Privado;Secundario;07301;Curicó;Calle;321;Carmen;752318159;01-01-2009;NO;;;;;Privado;Cerrado;;;;31-03-2014
16-270;116270;;;07;Maule;16;Servicio de Salud Del Maule;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Diagnóstico y Terapeútico;Establecimiento de Salud;Casa de Reposo y Centro Integral Las Ilusiones (Apoyo Hospital de Talca);No Aplica;Municipal;Secundario;07106;Pelarco;Calle;;Pelarco;;27-02-2010;NO;No Aplica;No Aplica;;;Público;Cerrado;;;;31-12-2011
16-272;116272;;;07;Maule;16;Servicio de Salud Del Maule;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Diagnóstico y Terapeútico;Establecimiento de Salud;Casa Juventud Obrera Católica (Obispado de Talca) (Apoyo Hospital de Talca);No Aplica;Municipal;Secundario;07109;San Clemente;Calle;;Vilches Bajo;;27-02-2010;NO;No Aplica;No Aplica;;;Público;Cerrado;;;;31-12-2011
16-600;116600;16-010;116010;07;Maule;16;Servicio de Salud Del Maule;Perteneciente al Sistema Nacional de Servicios de Salud;Programa de Reparación y Atención Integral de Salud (PRAIS);Establecimiento de Salud;PRAIS (S.S Del Maule);No Aplica;Servicio de Salud;Secundario;07101;Talca;Calle;936;1 Oriente;;01-01-2008;NO;No Aplica;No Aplica;;;Público;Cerrado;;;;01-01-2009
17-239;117239;;;16;Ñuble;16;SEREMI de Salud de Ñuble;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Inmunomedica;No Aplica;Privado;Secundario;16101;Chillán;Avenida;1137;Libertad;;01-01-2009;NO;No Aplica;No Aplica;;;Privado;Cerrado;;;;21-04-2014
17-240;117240;;;16;Ñuble;16;SEREMI de Salud de Ñuble;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Someruno;No Aplica;Privado;Secundario;16101;Chillán;Calle;446;Isabel Riquelme;;01-01-2009;NO;No Aplica;No Aplica;;;Privado;Cerrado;;;;21-04-2014
17-241;117241;;;16;Ñuble;16;SEREMI de Salud de Ñuble;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Cinco de Abril;No Aplica;Privado;Secundario;16101;Chillán;Avenida;648;Argentina;;01-01-2009;NO;No Aplica;No Aplica;;;Privado;Cerrado;;;;21-04-2014
17-425;117425;;;16;Ñuble;17;Servicio de Salud Ñuble;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Las Raíces;No Aplica;Municipal;Primario;16102;Bulnes;Calle;;Caserío Las Raíces;;01-01-2009;NO;No Aplica;No Aplica;;;Público;Cerrado;;;;01-01-2015
17-450;117450;;;16;Ñuble;17;Servicio de Salud Ñuble;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Casino;No Aplica;Municipal;Primario;16107;Quillón;Calle;;Sector Casino;;01-01-2009;NO;No Aplica;No Aplica;;;Público;Cerrado;;;;17-03-2008
18-203;118203;;;08;Biobío;08;SEREMI de Salud del Biobío;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica de La Mujer (Concepción);No Aplica;Privado;Secundario;08101;Concepción;Avenida;97;Francesa;412205113;01-01-2009;NO;;;;;Privado;Cerrado;;;;23-10-2014
18-251;118251;;;08;Biobío;08;SEREMI de Salud del Biobío;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Tenmedica;No Aplica;Privado;Secundario;08101;Concepción;Calle;940;San Martín;;01-01-2009;NO;No Aplica;No Aplica;;;Privado;Cerrado;;;;05-09-2019
18-253;118253;;;08;Biobío;08;SEREMI de Salud del Biobío;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Ambulatoria Sanatorio Alemán San Pedro;No Aplica;Privado;Secundario;08108;San Pedro de la Paz;Avenida;97;Laguna;412667000;01-01-2009;NO;;;;;Privado;Cerrado;;;;09-04-2014
18-292;118292;;;08;Biobío;08;SEREMI de Salud del Biobío;No Perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Establecimiento de Salud;Vacunatorio San Pedro de la Paz;No Aplica;Privado;Primario;08108;San Pedro de la Paz;Avenida;1055;Pedro Aguirre Cerda;;01-01-2009;NO;No Aplica;No Aplica;;;Privado;Cerrado;;;;
18-400;118400;;;08;Biobío;18;Servicio de Salud Concepción;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Copiulemu;No Aplica;Municipal;Primario;08104;Florida;Calle;;Aldea de Copiulemu Bélgica;;01-01-2009;NO;No Aplica;No Aplica;;;Público;Cerrado;;;;18-11-2013
18-402;118402;;;08;Biobío;18;Servicio de Salud Concepción;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Puerto Sur Isla Sta. María;No Aplica;Municipal;Primario;08102;Coronel;Calle;;Isla Sta. María sector Sur;;01-01-2009;NO;No Aplica;No Aplica;;;Público;Cerrado;;;;18-11-2013
18-500;118500;;;08;Biobío;08;SEREMI de Salud del Biobío;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Universitaria San Pedro de la Paz;No Aplica;Privado;Secundario;08108;San Pedro de la Paz;Calle;1145;Molco;412666000;03-05-2012;NO;;;;;Privado;Cerrado;;;;22-02-2019
18-502;118502;;;08;Biobío;08;SEREMI de Salud del Biobío;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Dipreca;No Aplica;Fuerzas Armadas y de Orden (FFAA);Secundario;08101;Concepción;Calle;963;San Martín;412919793;13-11-1991;NO;No Aplica;No Aplica;;;Privado;Cerrado;;;;07-11-2013
19-201;119201;;;08;Biobío;08;SEREMI de Salud del Biobío;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Policlínico de Atención Médica CAP ACERO ACHS Talcahuano;No Aplica;Privado;Secundario;08110;Talcahuano;Avenida;2910;Gran Bretaña;412502399;01-01-2009;NO;No Aplica;No Aplica;;;Privado;Cerrado;;;;28-05-2016
19-215;119215;;;08;Biobío;08;SEREMI de Salud del Biobío;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Policlínico de Atención Médica CAP;No Aplica;Privado;Secundario;08112;Hualpén;Avenida;2910;Gran Bretaña;;01-01-2009;NO;No Aplica;No Aplica;;;Privado;Cerrado;;;;06-03-2014
19-217;119217;;;08;Biobío;08;SEREMI de Salud del Biobío;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Bio;No Aplica;Privado;Secundario;08203;Cañete;Calle;156-A;Lautaro;;01-01-2009;NO;No Aplica;No Aplica;;;Privado;Cerrado;;;;21-04-2014
19-218;119218;;;08;Biobío;08;SEREMI de Salud del Biobío;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico San Pedro;No Aplica;Privado;Secundario;08203;Cañete;Calle;473;Villagrán;;01-01-2009;NO;No Aplica;No Aplica;;;Privado;Cerrado;;;;21-04-2014
20-204;120204;;;08;Biobío;08;SEREMI de Salud del Biobío;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro Corporación para la Nutrición Infantil (CONIN);Establecimiento de Salud;Centro CONIN Los Ángeles;No Aplica;Privado;Secundario;08301;Los Ángeles;Calle;873;Colo Colo;432533140;01-01-2009;NO;No Aplica;No Aplica;;;Privado;Cerrado;Mediana Complejidad;Atención Cerrada-Hospitalaria;;02-08-2016
20-437;120437;;;08;Biobío;20;Servicio de Salud Biobío;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Quilaco;No Aplica;Municipal;Primario;08308;Quilaco;Calle;;Colón Sin Número;432633614;01-01-2009;NO;No Aplica;No Aplica;;;Público;Cerrado;;;;01-01-2013
21-050;121050;21-010;121010;09;La Araucanía;21;Servicio de Salud Araucanía Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Dispositivo Incorporado por Crisis Sanitaria;Establecimiento de Salud;Hospital de Campaña Cruz Roja Noruega;No Aplica;Servicio de Salud;Terciario;09114;Pitrufquén;Calle;1235;Manuel Rodríguez;;01-03-2010;NO;;;;;Público;Cerrado;;;;31-12-2011
21-254;121254;;;09;La Araucanía;09;SEREMI de Salud de La Araucanía;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Caupolican;No Aplica;Privado;Secundario;09101;Temuco;Calle;1745;Puyehue;452955560;01-01-2009;NO;No Aplica;No Aplica;;;Privado;Cerrado;;;;
21-255;121255;;;09;La Araucanía;09;SEREMI de Salud de La Araucanía;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Central;No Aplica;Privado;Secundario;09101;Temuco;Calle;765;Andres Bello;452272136;01-01-2009;NO;No Aplica;No Aplica;;;Privado;Cerrado;;;;13-06-2018
21-259;121259;;;09;La Araucanía;09;SEREMI de Salud de La Araucanía;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Génesis;No Aplica;Privado;Secundario;09101;Temuco;Calle;379;Manuel Montt;452401990;01-01-2009;NO;No Aplica;No Aplica;;;Privado;Cerrado;;;;01-06-2013
21-260;121260;;;09;La Araucanía;09;SEREMI de Salud de La Araucanía;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Antumalal;No Aplica;Privado;Secundario;09101;Temuco;Calle;481;Vicuña Mackenna;452401067;01-01-2009;NO;No Aplica;No Aplica;;;Privado;Cerrado;;;;13-06-2018
21-261;121261;;;09;La Araucanía;09;SEREMI de Salud de La Araucanía;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Neolab;No Aplica;Privado;Secundario;09101;Temuco;Calle;110;Caupolicán;452232577;05-09-2002;NO;No Aplica;No Aplica;;;Privado;Cerrado;;;;01-03-2012
21-271;121271;;;09;La Araucanía;09;SEREMI de Salud de La Araucanía;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Pucón;No Aplica;Privado;Secundario;09115;Pucón;Calle;326;Urugay;452444113;01-01-2009;NO;No Aplica;No Aplica;;;Privado;Cerrado;;;;31-12-2007
21-344;121344;21-010;121010;09;La Araucanía;21;Servicio de Salud Araucanía Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Consultorio de Salud Mental;Establecimiento de Salud;COSAM PRAIS;No Aplica;Servicio de Salud;Secundario;09101;Temuco;Calle;191;Aldunate;;01-01-2009;NO;No Aplica;No Aplica;;;Público;Cerrado;;;;01-01-2012
21-345;121345;21-010;121010;09;La Araucanía;21;Servicio de Salud Araucanía Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Consultorio de Salud Mental;Establecimiento de Salud;CECOSAM Temuco;No Aplica;Servicio de Salud;Secundario;09101;Temuco;Calle;51;Vicuña Mackenna;;01-01-2009;NO;No Aplica;No Aplica;;;Público;Cerrado;;;;31-12-2011
21-351;121351;21-010;121010;09;La Araucanía;21;Servicio de Salud Araucanía Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Consultorio de Salud Mental;Establecimiento de Salud;COSAM Padre las Casas;No Aplica;Servicio de Salud;Secundario;09112;Padre Las Casas;Calle;1398;Mac-Iver;452990596;01-01-2009;NO;No Aplica;No Aplica;;;Público;Cerrado;;;;01-03-2010
21-457;121457;;;09;La Araucanía;21;Servicio de Salud Araucanía Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Labranza;No Aplica;Municipal;Primario;09101;Temuco;Calle;;Ciudad de Labranza;;01-01-2009;NO;No Aplica;No Aplica;;;Público;Cerrado;;;;01-09-2014
21-466;121466;;;09;La Araucanía;21;Servicio de Salud Araucanía Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Rehuecoyan;No Aplica;Municipal;Primario;09113;Perquenco;Calle;;Sector Rehuecoyan;;01-01-2009;NO;No Aplica;No Aplica;;;Público;Cerrado;;;;01-01-2019
21-553;121553;;;09;La Araucanía;21;Servicio de Salud Araucanía Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Ñancul;No Aplica;Municipal;Primario;09120;Villarrica;Calle;;Pueblo de Ñancul;;01-01-2009;NO;No Aplica;No Aplica;;;Público;Cerrado;;;;20-10-2016
22-225;122225;;;14;Los Ríos;14;SEREMI de Salud de Los Ríos;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Collico;No Aplica;Privado;Secundario;14101;Valdivia;Calle;;Chumpullo;632235970;01-01-2009;NO;;;;;Privado;Cerrado;;;;01-03-2018
22-410;122410;;;14;Los Ríos;22;Servicio de Salud Los Rios;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Folilco;No Aplica;Municipal;Primario;14104;Los Lagos;Calle;;Aldea de Folilco;;01-01-2009;NO;No Aplica;No Aplica;;;Público;Cerrado;;;;01-01-2007
22-415;122415;;;14;Los Ríos;22;Servicio de Salud Los Rios;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Mehuín;No Aplica;Municipal;Primario;14106;Mariquina;Calle;;Pueblo de Mehuín;;01-01-2009;NO;No Aplica;No Aplica;;;Público;Cerrado;;;;31-12-2014
22-811;122811;22-311;122311;14;Los Ríos;22;Servicio de Salud Los Rios;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Malalhue;No Aplica;Municipal;Primario;14103;Lanco;Calle;138;Balmaceda;;01-01-2009;NO;;;;;Público;Cerrado;;;;31-12-2014
23-210;123210;;;10;Los Lagos;10;SEREMI de Salud de Los Lagos;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Policlínico de la AChS Purranque;No Aplica;Privado;Secundario;10303;Purranque;Calle;216;Las Heras;642263262;01-01-2009;NO;No Aplica;No Aplica;;;Privado;Cerrado;;;;25-11-2011
24-442;124442;;;10;Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Carelmapu;No Aplica;Municipal;Primario;10108;Maullín;Calle;;Pueblo de Carelmapu;;01-01-2009;NO;No Aplica;No Aplica;;;Público;Cerrado;;;;07-07-2008
24-531;124531;;;10;Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Ayacara;No Aplica;Municipal;Primario;10401;Chaitén;Calle;;Sector Ayacara;;01-01-1975;NO;No Aplica;No Aplica;;;Público;Cerrado;;;;07-07-2008
25-206;125206;;;11;Aysén del General Carlos Ibañez del Campo;11;SEREMI de Salud de Aysén del General Carlos Ibáñez del Campo;No Perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Establecimiento de Salud;Vacunatorio Dra. Elizabeth Otazo;No Aplica;Privado;Secundario;11101;Coyhaique;Calle;328;21 de Mayo;;01-01-2009;NO;No Aplica;No Aplica;;;Privado;Cerrado;;;;03-05-2017
28-050;128050;28-010;128010;08;Biobío;28;Servicio de Salud Arauco;Perteneciente al Sistema Nacional de Servicios de Salud;Dispositivo Incorporado por Crisis Sanitaria;Establecimiento de Salud;Hospital de Campaña (Curanilahue);No Aplica;Servicio de Salud;Terciario;08205;Curanilahue;Calle;;;;01-03-2010;NO;;;;;Público;Cerrado;;;;31-12-2010
28-411;128411;;;08;Biobío;28;Servicio de Salud Arauco;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Tubul;No Aplica;Municipal;Primario;08202;Arauco;Calle;;Aldea de Tubul;;01-01-2009;NO;No Aplica;No Aplica;;;Público;Cerrado;;;;31-12-2014
29-050;129050;29-010;129010;09;La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Dispositivo Incorporado por Crisis Sanitaria;Establecimiento de Salud;Hospital de Campaña Estados Unidos (Angol);No Aplica;Servicio de Salud;Terciario;09201;Angol;Calle;;;;01-03-2010;NO;;;;;Público;Cerrado;;;;31-12-2012
29-051;129051;29-010;129010;09;La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Dispositivo Incorporado por Crisis Sanitaria;Establecimiento de Salud;Hospital de Campaña Nº 2 (Servicio de Salud);No Aplica;Servicio de Salud;Terciario;09201;Angol;Calle;;Cautín;452719888;01-03-2010;NO;;;;;Público;Cerrado;;;;31-12-2012
29-052;129052;29-010;129010;09;La Araucanía;29;Servicio de Salud Araucanía Norte;Perteneciente al Sistema Nacional de Servicios de Salud;Dispositivo Incorporado por Crisis Sanitaria;Establecimiento de Salud;Hospital de Campaña Nº 3 (Servicio de Salud);No Aplica;Servicio de Salud;Terciario;09201;Angol;Calle;;Cautín;452719888;01-03-2010;NO;;;;;Público;Cerrado;;;;31-12-2012
29-237;129237;;;09;La Araucanía;09;SEREMI de Salud de La Araucanía;No Perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Establecimiento de Salud;Vacunatorio Myrta Aravena Fuentes;No Aplica;Privado;Primario;09201;Angol;Calle;225;Diego Dublé Urrutia;452711862;01-01-2009;NO;No Aplica;No Aplica;;;Privado;Cerrado;;;;30-04-2014
33-202;133202;;;10;Los Lagos;10;SEREMI de Salud de Los Lagos;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica de la AChS Castro;No Aplica;Privado;Secundario;10201;Castro;Calle;498;Freire;652639410;01-01-2009;NO;;;;;Privado;Cerrado;;;;25-06-2014
33-491;133491;;;10;Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Puntra;No Aplica;Municipal;Primario;10202;Ancud;Calle;;Caserío de Puntra;993193768;01-01-2009;NO;No Aplica;No Aplica;;;Público;Cerrado;;;;07-02-2018
04-905;200005;;;03;Atacama;03;SEREMI de Salud de Atacama;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Blanco;No Aplica;Privado;Secundario;03301;Vallenar;Calle;648;Concepción;;09-12-2013;NO;No Aplica;No Aplica;;;Privado;Cerrado;;;;14-01-2020
04-907;200007;;;03;Atacama;03;SEREMI de Salud de Atacama;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Chañaral;No Aplica;Privado;Secundario;03201;Chañaral;Calle;524-F;Merino Jarpa;;17-07-2001;NO;No Aplica;No Aplica;;;Privado;Cerrado;;;;08-03-2013
04-908;200008;;;03;Atacama;03;SEREMI de Salud de Atacama;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico López;No Aplica;Privado;Secundario;03301;Vallenar;Calle;536;San Ambrosio;;01-01-2009;NO;No Aplica;No Aplica;;;Privado;Cerrado;;;;01-01-2018
12-992;200092;;;13;Metropolitana de Santiago;13;SEREMI de Salud Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Clínica Dermacross;No Aplica;Privado;Secundario;13132;Vitacura;Avenida;2051;Manquehue Norte;229540253;28-11-2014;NO;No Aplica;No Aplica;;;Privado;Cerrado;;;;08-01-2016
05-901;200182;05-705;105705;04;Coquimbo;05;Servicio de Salud Coquimbo;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Tierras Blancas II;No Aplica;Municipal;Primario;04102;Coquimbo;Calle;;Calle;512336032;;NO;;;;;Público;Cerrado;;;;
04-910;200184;;;03;Atacama;04;Servicio de Salud Atacama;Perteneciente al Sistema Nacional de Servicios de Salud;Puesto de Atención Médica Especializado (PAME) Incorporado por Crisis Sanitaria;Establecimiento de Salud;Puesto de Atención Médica Especializada (Tierra Amarilla);No Aplica;Fuerzas Armadas y de Orden (FFAA);Primario;03103;Tierra Amarilla;Avenida;;Principal Miguel Lemer C-35  (al lado de Reten de Carabineros);994567729;25-03-2015;NO;;;;;Fuerzas Armadas y de Orden;Cerrado;;;;25-07-2015
04-911;200185;;;03;Atacama;04;Servicio de Salud Atacama;Perteneciente al Sistema Nacional de Servicios de Salud;Puesto de Atención Médica Especializado (PAME) Incorporado por Crisis Sanitaria;Establecimiento de Salud;Puesto de Atención Médica Especializada (Diego de Almagro);No Aplica;Fuerzas Armadas y de Orden (FFAA);Primario;03202;Diego de Almagro;Avenida;;Colipi con Bernardo O`Higgins (cerca del colegio Aliro Lama);998882184;25-03-2015;NO;;;;;Fuerzas Armadas y de Orden;Cerrado;;;;25-07-2015
04-912;200186;;;03;Atacama;04;Servicio de Salud Atacama;Perteneciente al Sistema Nacional de Servicios de Salud;Puesto de Atención Médica Especializado (PAME) Incorporado por Crisis Sanitaria;Establecimiento de Salud;Puesto de Atención Médica Especializada (Chañaral);No Aplica;Fuerzas Armadas y de Orden (FFAA);Primario;03201;Chañaral;Calle;;Almirante Latorre (ubicado en el estadio);981282127;25-03-2015;NO;;;;;Fuerzas Armadas y de Orden;Cerrado;;;;25-07-2015
21-912;200197;;;09;La Araucanía;09;SEREMI de Salud de La Araucanía;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Médico y Dental La Araucana Temuco;No Aplica;Privado;Secundario;09101;Temuco;Calle;186;Aldunate;452211707;24-06-2015;NO;No Aplica;No Aplica;;;Privado;Cerrado;;;;12-12-2018
16-920;200408;;;07;Maule;07;SEREMI de Salud del Maule;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico TECME;No Aplica;Privado;Secundario;07401;Linares;Calle;85;Independencia, Oficina 306;;07-02-2000;NO;No Aplica;No Aplica;;;Privado;Cerrado;;;;15-12-2017
02-910;200498;;;01;Tarapacá;01;SEREMI de Salud de Tarapacá;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico TREZ-000;No Aplica;Privado;Secundario;01107;Alto Hospicio;Calle;3058;Chaca Local 1, Piso 2;572272961;19-10-2016;NO;No Aplica;No Aplica;;;Privado;Cerrado;;;;13-02-2019
