EstablecimientoCodigoAntiguo;EstablecimientoCodigo;EstablecimientoCodigoMadreAntiguo;EstablecimientoCodigoMadreNuevo;RegionCodigo;RegionGlosa;SeremiSaludCodigo_ServicioDeSaludCodigo;SeremiSaludGlosa_ServicioDeSaludGlosa;TipoPertenenciaEstabGlosa;TipoEstablecimientoGlosa;AmbitoFuncionamiento;EstablecimientoGlosa;Certificacion;DependenciaAdministrativa;NivelAtencionEstabglosa;ComunaCodigo;ComunaGlosa;TipoViaGlosa;Numero;NombreVia;TelefonoMovil_TelefonoFijo;FechaInicioFuncionamientoEstab;TieneServicioUrgencia;TipoUrgencia;ClasificacionTipoSapu;Latitud;Longitud;TipoSistemaSaludGlosa;EstadoFuncionamiento;NivelComplejidadEstabGlosa;TipoAtencionEstabGlosa;FechaIncorporacion;FechaCierre
;201054;;;04;Coquimbo;04;SEREMI de Salud de Coquimbo;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Médico Vital Mas;No Aplica;Privado;Primario;04101;La Serena;Avenida;1707;Raúl Bitran;56512439197;07-01-2021;NO;No Aplica;No Aplica;;;Privado;Cerrado;Baja Complejidad;Atención Abierta-Ambulatoria;;27-01-2025
05-236;105236;;;04;Coquimbo;04;SEREMI de Salud de Coquimbo;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Diálisis;Establecimiento de Salud;Centro de Diálisis Clinidial La Serena;No Aplica;Privado;No Aplica;04101;La Serena;Calle;425;Juan Soldado;512213272;01-01-2009;NO;No Aplica;No Aplica;-29.916359;-71.254749;Privado;Cerrado;Mediana Complejidad;Atención Abierta-Ambulatoria;28-08-2023;25-08-2025
05-244;105244;;;04;Coquimbo;04;SEREMI de Salud de Coquimbo;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Integramédica;No Aplica;Privado;No Aplica;04101;La Serena;Avenida;1400;Alberto Solari;512207747;01-01-2009;NO;No Aplica;No Aplica;;;Privado;Cerrado;No Aplica;No Aplica;;27-01-2025
05-920;200020;;;04;Coquimbo;04;SEREMI de Salud de Coquimbo;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Diálisis;Establecimiento de Salud;Centro de Diálisis Clinidial Las Compañías;No Aplica;Privado;No Aplica;04101;La Serena;Calle;1791;Santo Domingo;;29-10-2013;NO;No Aplica;No Aplica;-29.885789;-71.23554;Privado;Cerrado;Mediana Complejidad;Atención Abierta-Ambulatoria;;01-07-2025
04-412;104412;;;03;Atacama;04;Servicio de Salud Atacama;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Hacienda Compañía;No Aplica;Municipal;Primario;03301;Vallenar;Calle;;Aldea Hacienda Compañía;;;NO;No Aplica;No Aplica;;;Público;Cerrado;Baja Complejidad;Atención Abierta-Ambulatoria;;31-12-2024
04-242;104242;;;03;Atacama;03;SEREMI de Salud de Atacama;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Huasco-Vallenar;No Aplica;Privado;No Aplica;03301;Vallenar;Calle;1150;Serrano;512616694;01-01-2009;NO;No Aplica;No Aplica;-28.577991;-70.758696;Privado;Cerrado;No Aplica;No Aplica;;25-08-2025
04-924;200550;;;03;Atacama;03;SEREMI de Salud de Atacama;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico y de Biología Molecular IISO SpA;No Aplica;Privado;No Aplica;03101;Copiapó;Avenida;386;Camilo Henríquez;56952173998;02-11-2016;NO;No Aplica;No Aplica;-27.386838;-70.327464;Privado;Cerrado;No Aplica;No Aplica;;25-08-2025
04-917;200464;;;03;Atacama;03;SEREMI de Salud de Atacama;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Blanco;No Aplica;Privado;No Aplica;03101;Copiapó;Calle;774;José Joaquín Vallejos;522219613;20-10-2015;NO;No Aplica;No Aplica;-27.364633;-70.327484;Privado;Cerrado;No Aplica;No Aplica;;16-03-2026
02-236;102236;;;01;Tarapacá;01;SEREMI de Salud de Tarapacá;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Playa Brava;No Aplica;Privado;No Aplica;01101;Iquique;Calle;3327;José Francisco Vergara;572393544;01-01-2009;NO;No Aplica;No Aplica;-20.252749;-70.133624;Privado;Cerrado;No Aplica;No Aplica;;03-02-2026
02-916;200722;;;01;Tarapacá;02;Servicio de Salud Tarapacá;Perteneciente al Sistema Nacional de Servicios de Salud;Dispositivo Incorporado por Crisis Sanitaria;Establecimiento de Salud;Estadio Tierra de Campeones;No Aplica;Servicio de Salud;No Aplica;01101;Iquique;Avenida;2903;Salvador Allende Gossens;;;NO;No Aplica;No Aplica;-20.24181;-70.134418;Público;Cerrado;;Atención Cerrada-Hospitalaria;;16-01-2026
