Mes;IdServicio;Ano;IdEstablecimiento;CodigoPrestacion;IdRegion;IdComuna;Col01;Col02;Col03;Col04;Col05;Col06;Col07;Col08;Col09;Col10;Col11;Col12;Col13;Col14;Col15;Col16;Col17;Col18;Col19;Col20;Col21;Col22;Col23;Col24;Col25;Col26;Col27;Col28;Col29;Col30;Col31;Col32;Col33;Col34;Col35;Col36;Col37;Col38;Col39;Col40;Col41;Col42;Col43;Col44;Col45;Col46;Col47;Col48;Col49;Col50
8;16;2025;116306;01080008;7;7101;14;0;0;1;2;3;4;3;0;1;0;0;0;0;4;0;0;0;0;0;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;16;2025;116306;01080008;7;7101;17;0;0;1;1;6;5;3;1;0;0;0;0;1;3;0;0;0;0;2;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;16;2025;116343;01080008;7;7101;14;;;1;3;3;4;3;;;;;0;0;0;0;0;0;0;0;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;18;2025;118303;01080008;8;8101;3;;;;;1;2;;;;;;1;0;2;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;18;2025;118303;01080008;8;8101;8;;;1;3;2;1;;1;;;;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;18;2025;200052;01080008;8;8101;1;;;;;1;;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;18;2025;200052;27500110;8;8101;5;;;;;;0;0;1;2;2;0;0;0;0;0;;;;;;5;0;0;0;0;0;;0;0;0;;;;;;;;;;;;;;;;;;;
4;22;2025;122702;01080008;14;14101;3;;;;1;;1;;1;;;;0;0;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;26;2025;126102;01080008;12;12301;9;;;;3;3;2;1;;;;;1;1;1;0;0;0;0;1;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;13;2025;113324;27500110;13;13105;3;;;;;;0;0;1;1;1;0;0;0;0;0;;;;;;3;0;0;0;0;1;;0;0;0;0;;;;;;;;;;;;;;;;;;
1;13;2025;113324;01080008;13;13105;28;0;0;2;3;7;8;6;2;0;0;0;1;2;7;0;0;0;0;3;0;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;13;2025;113324;01080008;13;13105;9;0;0;0;1;4;3;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;23;2025;123301;01080008;10;10301;27;;;;3;8;12;3;1;;;;0;1;3;0;0;0;0;4;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;25;2025;125301;27500110;11;11101;8;;;;;;;;;4;3;1;;;;;;;;;;8;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;
9;21;2025;121305;27500110;9;9101;30;;;;;;2;2;4;16;2;2;2;0;0;0;;;;;;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;
3;25;2025;125301;01080008;11;11101;14;;;;4;5;5;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;22;2025;122702;01080008;14;14101;6;0;0;0;0;2;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;7;2025;107305;27500110;5;5103;19;;;;;;0;1;2;1;13;1;1;0;0;0;;;;;;19;0;0;0;0;0;;0;0;0;;;;;;;;;;;;;;;;;;;
9;11;2025;111370;27500110;13;13101;26;;;;;;;1;3;11;6;2;3;;;;;;;;;26;;;0;0;19;;0;0;0;0;;;;;;;;;;;;;;;;;;
4;6;2025;106306;27500110;5;5101;5;;;;;;0;1;2;0;1;1;0;0;0;0;;;;;;5;;;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;
7;2;2025;102301;27500110;1;1101;31;;;;;;0;0;11;12;5;0;3;0;0;0;;;;;;31;0;0;0;0;23;;0;0;0;0;;;;;;;;;;;;;;;;;;
1;1;2025;101307;27500110;15;15101;11;;;;;;0;0;4;3;2;2;0;0;0;0;;;;;;0;0;0;0;0;0;;0;0;0;;;;;;;;;;;;;;;;;;;
9;19;2025;119304;27500110;8;8107;5;;;;;;1;;1;1;;2;;;;;;;;;;5;;;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;
10;1;2025;101304;01080008;15;15201;2;;;;;1;;1;;;;;0;0;0;0;0;0;0;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;7;2025;107305;01080008;5;5103;19;0;0;2;4;3;6;4;0;0;0;0;1;2;4;0;0;0;0;1;0;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;33;2025;133776;01080008;10;10201;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;6;2025;106306;01080008;5;5101;10;0;0;0;2;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;3;2025;103100;27500110;2;2101;18;;;;;;0;2;4;4;6;2;0;0;0;0;;;;;;0;0;18;0;0;12;;0;0;0;0;;;;;;;;;;;;;;;;;;
1;33;2025;133375;01080008;10;10201;3;0;0;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;33;2025;133375;01080008;10;10201;11;0;0;0;0;5;2;4;0;0;0;0;0;1;1;0;0;0;0;1;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;15;2025;115304;27500110;6;6101;14;;;;;;;;3;5;6;;;;;;;;;;;14;;;0;0;2;;0;0;0;0;;;;;;;;;;;;;;;;;;
5;7;2025;107305;01080008;5;5103;29;0;0;1;3;11;8;5;1;0;0;0;0;4;9;0;0;0;0;1;1;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;28;2025;128311;01080008;8;8201;4;;;1;;;2;1;;;;;0;0;0;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;24;2025;200292;27500110;10;10101;7;;;;;;0;0;4;1;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;6;2025;106306;27500110;5;5101;10;;;;;;0;1;2;2;1;4;0;0;0;0;;;;;;10;0;0;3;0;0;;0;0;0;;;;;;;;;;;;;;;;;;;
7;21;2025;121780;01080008;9;9101;3;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;7;2025;107305;01080008;5;5103;36;0;0;2;9;10;9;5;1;0;0;0;3;5;6;0;0;0;0;0;0;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;9;2025;200347;01080008;13;13104;4;0;;0;0;2;0;2;0;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4;2025;104306;01080008;3;3101;17;0;0;1;3;3;8;1;1;0;0;0;0;1;4;0;0;0;0;1;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;15;2025;115303;01080008;6;6101;5;;;1;;1;2;1;;;;;0;0;3;0;0;0;0;0;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4;2025;104303;01080008;3;3101;51;0;0;2;9;16;17;2;5;0;0;0;0;2;7;0;0;0;0;3;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;4;2025;104305;27500110;3;3101;4;;;;;;0;1;1;0;1;1;;;;;;;;;;4;0;0;0;0;0;;0;0;0;;;;;;;;;;;;;;;;;;;
5;29;2025;129304;01080008;9;9201;16;0;1;1;3;5;5;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;7;2025;107305;27500110;5;5103;23;;;;;;0;3;2;2;10;3;3;0;0;0;;;;;;23;0;0;0;0;13;;0;0;0;0;;;;;;;;;;;;;;;;;;
2;21;2025;121305;01080008;9;9101;13;0;0;0;3;4;4;1;1;0;0;0;0;0;2;0;0;0;0;6;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;17;2025;117101;27500110;16;16101;55;;;;;;0;1;10;20;9;9;5;1;0;0;;;;;;;;55;7;6;5;;0;0;0;0;;;;;;;;;;;;;;;;;;
8;4;2025;104303;01080008;3;3101;24;0;0;0;11;7;3;2;1;0;0;0;1;1;0;0;0;0;0;2;0;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;19;2025;200285;01080008;8;8107;1;;;;1;;;;;;;;0;0;0;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;7;2025;107305;27500110;5;5103;31;;;;;;0;1;2;9;13;6;0;0;0;0;;;;;;31;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;
11;7;2025;107305;01080008;5;5103;20;0;0;1;3;4;6;3;3;0;0;0;0;0;5;0;0;0;0;0;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;7;2025;107305;01080008;5;5103;22;0;0;0;5;8;7;2;0;0;0;0;0;0;1;0;0;0;0;0;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;4;2025;104303;27500110;3;3101;23;;;;;;;;5;13;4;1;;;;;;;;;;23;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;
9;28;2025;128406;01080008;8;8201;3;;;;;1;;2;;;;;0;0;1;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;18;2025;200052;01080008;8;8101;1;;;;;;;1;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;17;2025;117330;01080008;16;16101;9;;;;3;4;1;1;;;;;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;7;2025;107305;01080008;5;5103;15;0;0;1;3;4;6;0;1;0;0;0;0;1;3;0;0;0;0;0;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;19;2025;200285;27500110;8;8107;2;;;;;;;;;2;;;;;;;;;;;;2;;;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;
7;9;2025;200609;27500110;13;13104;2;;;;;;;;2;;;;;;;;;;;;;2;;;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;
11;25;2025;125300;27500110;11;11101;17;;;;;;0;0;2;4;4;7;0;0;0;0;;;;;;17;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;
7;9;2025;200347;01080008;13;13104;4;0;0;0;1;1;0;1;1;0;;;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;33;2025;133375;01080008;10;10201;14;0;0;2;4;5;1;2;0;0;0;0;1;0;2;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;33;2025;133776;01080008;10;10201;3;0;0;0;2;;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;33;2025;133375;01080008;10;10201;9;0;0;0;1;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;33;2025;133776;27500110;10;10201;0;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;5;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;
12;22;2025;122702;01080008;14;14101;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;22;2025;122720;01080008;14;14101;1;;;;;1;;;;;;;0;1;0;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;33;2025;133776;27500110;10;10201;0;;;;;;0;0;0;0;0;0;0;0;0;0;;;;;;5;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;
8;2;2025;102301;01080008;1;1101;55;0;0;2;14;18;11;8;2;0;0;0;0;2;13;0;0;0;0;8;2;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;2;2025;102301;27500110;1;1101;32;;;;;;0;5;7;9;7;4;0;0;0;0;;;;;;32;0;0;0;2;25;;0;0;0;0;;;;;;;;;;;;;;;;;;
10;33;2025;133375;01080008;10;10201;11;0;0;1;2;2;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
