Region;Servicio de salud;Comuna;Establecimiento;CodigoEstablecimiento;Mes;Numerador;Denominador;PorcentajeCumplimiento
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;1;12;7;171.43
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;2;4;10;40.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;3;12;10;120.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;4;16;6;266.67
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;5;17;6;283.33
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;6;21;7;300.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;1;0;9;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;2;0;6;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;3;0;7;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;4;0;7;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;5;0;3;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;6;0;6;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;1;18;28;64.29
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;2;27;16;168.75
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;3;24;33;72.73
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;4;31;27;114.81
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;5;24;23;104.35
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;6;15;23;65.22
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Central Oriente de Antofagasta;103308;1;0;24;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Central Oriente de Antofagasta;103308;2;0;24;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Central Oriente de Antofagasta;103308;3;32;37;86.49
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Central Oriente de Antofagasta;103308;4;13;30;43.33
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Central Oriente de Antofagasta;103308;5;21;22;95.45
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Central Oriente de Antofagasta;103308;6;28;39;71.79
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Centro Sur de Antofagasta;103303;1;8;42;19.05
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Centro Sur de Antofagasta;103303;2;16;19;84.21
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Centro Sur de Antofagasta;103303;3;18;45;40.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Centro Sur de Antofagasta;103303;4;32;43;74.42
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Centro Sur de Antofagasta;103303;5;31;32;96.88
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Centro Sur de Antofagasta;103303;6;29;33;87.88
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Corvallis;103302;1;5;30;16.67
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Corvallis;103302;2;10;25;40.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Corvallis;103302;3;16;29;55.17
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Corvallis;103302;4;9;18;50.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Corvallis;103302;5;16;36;44.44
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Corvallis;103302;6;6;25;24.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Dra. Maria Cristina Rojas Neumann;200216;1;20;43;46.51
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Dra. Maria Cristina Rojas Neumann;200216;2;17;32;53.12
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Dra. Maria Cristina Rojas Neumann;200216;3;12;36;33.33
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Dra. Maria Cristina Rojas Neumann;200216;4;21;46;45.65
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Dra. Maria Cristina Rojas Neumann;200216;5;13;29;44.83
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Dra. Maria Cristina Rojas Neumann;200216;6;21;29;72.41
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Juan Pablo II de Antofagasta;103304;1;15;39;38.46
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Juan Pablo II de Antofagasta;103304;2;20;17;117.65
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Juan Pablo II de Antofagasta;103304;3;15;40;37.5
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Juan Pablo II de Antofagasta;103304;4;0;25;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Juan Pablo II de Antofagasta;103304;5;14;26;53.85
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Juan Pablo II de Antofagasta;103304;6;29;24;120.83
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Norte de Antofagasta;103300;1;7;28;25.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Norte de Antofagasta;103300;2;4;28;14.29
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Norte de Antofagasta;103300;3;7;41;17.07
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Norte de Antofagasta;103300;4;5;39;12.82
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Norte de Antofagasta;103300;5;5;33;15.15
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Norte de Antofagasta;103300;6;7;37;18.92
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Valdivieso;200450;1;0;33;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Valdivieso;200450;2;0;27;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Valdivieso;200450;3;0;20;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Valdivieso;200450;4;0;25;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Valdivieso;200450;5;0;19;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Valdivieso;200450;6;0;19;0.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Alemania;103707;1;16;6;266.67
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Alemania;103707;2;2;4;50.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Alemania;103707;3;3;5;60.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Alemania;103707;4;12;9;133.33
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Alemania;103707;5;14;4;350.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Alemania;103707;6;10;7;142.86
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Oasis;200241;1;0;8;0.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Oasis;200241;2;0;2;0.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Oasis;200241;3;7;6;116.67
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Oasis;200241;4;16;5;320.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Oasis;200241;5;7;5;140.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Oasis;200241;6;5;2;250.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Sur;103705;1;29;3;966.67
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Sur;103705;2;41;5;820.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Sur;103705;3;27;9;300.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Sur;103705;4;33;8;412.5
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Sur;103705;5;27;6;450.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Sur;103705;6;35;6;583.33
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Alemania de Calama;103307;1;0;48;0.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Alemania de Calama;103307;2;0;44;0.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Alemania de Calama;103307;3;52;56;92.86
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Alemania de Calama;103307;4;46;58;79.31
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Alemania de Calama;103307;5;30;45;66.67
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Alemania de Calama;103307;6;41;50;82.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Central de Calama;103305;1;0;43;0.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Central de Calama;103305;2;115;31;370.97
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Central de Calama;103305;3;64;63;101.59
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Central de Calama;103305;4;77;41;187.8
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Central de Calama;103305;5;64;33;193.94
