Region;Servicio de salud;Comuna;Establecimiento;CodigoEstablecimiento;Numerador;Denominador;PorcentajeCumplimiento
Biobío;Servicio de Salud Talcahuano;Tome;Centro de Salud Familiar Dichato;119402;36;40;90.0
Biobío;Servicio de Salud Talcahuano;Tome;Centro de Salud Familiar Dr. Alberto Reyes;119305;103;105;98.1
Biobío;Servicio de Salud Talcahuano;Tome;Posta de Salud Rural Coliumo;119404;3;3;100.0
Biobío;Servicio de Salud Talcahuano;Tome;Posta de Salud Rural Menque;119403;2;2;100.0
Coquimbo;Servicio de Salud Coquimbo;Andacollo;Hospital Dr. José Arraño (Andacollo);105106;57;61;93.44
Coquimbo;Servicio de Salud Coquimbo;Canela;Centro de Salud Familiar Canela;105309;36;61;59.02
Coquimbo;Servicio de Salud Coquimbo;Canela;Posta de Salud Rural Los Rulos;105483;1;1;100.0
Coquimbo;Servicio de Salud Coquimbo;Combarbalá;Centro Comunitario de Salud Familiar Cogotí 18;105460;4;5;80.0
Coquimbo;Servicio de Salud Coquimbo;Combarbalá;Hospital San Juan de Dios (Combarbalá);105105;32;42;76.19
Coquimbo;Servicio de Salud Coquimbo;Combarbalá;Posta de Salud Rural El Durazno(Combarbalá);105490;2;2;100.0
Coquimbo;Servicio de Salud Coquimbo;Combarbalá;Posta de Salud Rural El Sauce (Combarbalá);105462;3;3;100.0
Coquimbo;Servicio de Salud Coquimbo;Combarbalá;Posta de Salud Rural La Ligua;105464;1;1;100.0
Coquimbo;Servicio de Salud Coquimbo;Combarbalá;Posta de Salud Rural Manquehua;105441;2;2;100.0
Coquimbo;Servicio de Salud Coquimbo;Combarbalá;Posta de Salud Rural Quilitapia;105463;3;2;150.0
Coquimbo;Servicio de Salud Coquimbo;Combarbalá;Posta de Salud Rural Ramadilla;105465;1;1;100.0
Coquimbo;Servicio de Salud Coquimbo;Combarbalá;Posta de Salud Rural San Marcos (Combarbalá);105434;1;1;100.0
Coquimbo;Servicio de Salud Coquimbo;Coquimbo;Centro Comunitario de Salud Familiar Punta Mira;200273;19;22;86.36
Coquimbo;Servicio de Salud Coquimbo;Coquimbo;Centro de Salud Familiar Dr. Sergio Aguilar Delgado;105323;202;234;86.32
Coquimbo;Servicio de Salud Coquimbo;Coquimbo;Centro de Salud Familiar El Sauce;200494;169;195;86.67
Coquimbo;Servicio de Salud Coquimbo;Coquimbo;Centro de Salud Familiar Lila Cortés Godoy;200607;161;232;69.4
Coquimbo;Servicio de Salud Coquimbo;Coquimbo;Centro de Salud Familiar Rural Pan de Azúcar;200499;123;129;95.35
Coquimbo;Servicio de Salud Coquimbo;Coquimbo;Centro de Salud Familiar San Juan;105303;185;229;80.79
Coquimbo;Servicio de Salud Coquimbo;Coquimbo;Centro de Salud Familiar Santa Cecilia;105304;161;185;87.03
Coquimbo;Servicio de Salud Coquimbo;Coquimbo;Centro de Salud Familiar Tierras Blancas;105305;156;222;70.27
Coquimbo;Servicio de Salud Coquimbo;Coquimbo;Centro de Salud Familiar Tongoy;105321;57;67;85.07
Coquimbo;Servicio de Salud Coquimbo;Coquimbo;Posta de Salud Rural Guanaqueros;105405;16;16;100.0
Coquimbo;Servicio de Salud Coquimbo;Illapel;Centro de Salud Familiar Urbano de Illapel;200366;37;68;54.41
Coquimbo;Servicio de Salud Coquimbo;Illapel;Centro de Salud Familiar Villa San Rafael de Rozas;105326;35;40;87.5
Coquimbo;Servicio de Salud Coquimbo;Illapel;Posta de Salud Rural Cañas Uno;105487;3;6;50.0
Coquimbo;Servicio de Salud Coquimbo;Illapel;Posta de Salud Rural Cárcamo;105443;1;1;100.0
Coquimbo;Servicio de Salud Coquimbo;Illapel;Posta de Salud Rural Huintil;105444;1;2;50.0
Coquimbo;Servicio de Salud Coquimbo;Illapel;Posta de Salud Rural Limáhuida;105445;2;2;100.0
Coquimbo;Servicio de Salud Coquimbo;Illapel;Posta de Salud Rural Peralillo Illapel;105447;1;3;33.33
Coquimbo;Servicio de Salud Coquimbo;Illapel;Posta de Salud Rural Pintacura Sur;105496;2;3;66.67
Coquimbo;Servicio de Salud Coquimbo;Illapel;Posta de Salud Rural Plan de Hornos;105485;0;1;0.0
Coquimbo;Servicio de Salud Coquimbo;Illapel;Posta de Salud Rural Santa Virginia;105448;1;1;100.0
Coquimbo;Servicio de Salud Coquimbo;Illapel;Posta de Salud Rural Socavón;105504;2;3;66.67
Coquimbo;Servicio de Salud Coquimbo;Illapel;Posta de Salud Rural Tunga Norte;105449;1;1;100.0
Coquimbo;Servicio de Salud Coquimbo;Illapel;Posta de Salud Rural Tunga Sur;105486;1;0;
Coquimbo;Servicio de Salud Coquimbo;La Higuera;Centro de Salud Familiar La Higuera;105314;8;10;80.0
Coquimbo;Servicio de Salud Coquimbo;La Higuera;Posta de Salud Rural Caleta Hornos;105500;11;11;100.0
