Mes;IdServicio;Ano;IdEstablecimiento;CodigoPrestacion;IdRegion;IdComuna;Col01;Col02;Col03;Col04;Col05;Col06;Col07;Col08;Col09;Col10;Col11;Col12;Col13;Col14;Col15;Col16;Col17;Col18;Col19;Col20;Col21;Col22;Col23;Col24;Col25;Col26;Col27;Col28;Col29;Col30;Col31;Col32;Col33;Col34;Col35;Col36;Col37;Col38;Col39;Col40;Col41;Col42;Col43;Col44;Col45;Col46;Col47;Col48;Col49;Col50
5;21;2026;121109;01030100;9;9101;142;0;11;108;23;2;2;3;14;77;113;0;0;0;60;131;131;6;121;12;124;131;132;2;31;2;0;0;0;0;;;;;;;;;;;;;;;;;;;;
5;21;2026;121109;29101714;9;9101;4;0;0;4;0;0;0;0;0;2;4;0;0;0;0;3;3;0;3;0;3;3;3;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
5;21;2026;121109;01030300;9;9101;43;0;0;26;17;0;0;1;7;3;43;0;0;0;0;0;41;3;5;6;41;41;40;0;9;4;0;0;0;0;;;;;;;;;;;;;;;;;;;;
5;21;2026;121109;24090700;9;9101;130;0;8;92;30;0;3;7;24;11;130;0;0;5;0;99;108;0;12;21;97;108;104;0;31;4;0;0;0;0;;;;;;;;;;;;;;;;;;;;
5;21;2026;121109;29101728;9;9101;118;2;36;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;21;2026;121109;29101729;9;9101;22;0;6;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;21;2026;121115;29101728;9;9102;1;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;21;2026;121115;01030100;9;9102;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
1;21;2026;121115;29101728;9;9102;1;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;21;2026;121115;29101729;9;9102;1;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;21;2026;121115;01030100;9;9102;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
5;4;2026;104103;29101728;3;3301;13;0;3;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4;2026;104103;29101729;3;3301;13;0;3;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4;2026;104103;29101742;3;3301;24;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4;2026;104103;01030100;3;3301;13;0;0;8;5;0;0;0;1;0;9;13;0;0;2;;;0;10;0;0;;;;2;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
4;21;2026;121113;29101728;9;9103;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;2026;121113;01030100;9;9103;1;;;1;;;;;;;;;;;;1;1;0;1;0;1;1;1;1;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
4;21;2026;121111;29101729;9;9106;1;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;2026;121111;01030100;9;9106;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
1;21;2026;121111;29101728;9;9106;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;21;2026;121111;01030100;9;9106;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1;1;1;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2;21;2026;121119;29101715;9;9107;1;;;1;;;;;;;;;;;;1;;;;;1;1;1;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2;21;2026;121119;29101729;9;9107;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;21;2026;121119;01030100;9;9107;1;;;1;;;;;;;;;;;;1;;;;;1;1;1;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2;21;2026;121110;29101728;9;9108;7;0;2;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;21;2026;121110;29101742;9;9108;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;21;2026;121110;01030100;9;9108;7;0;0;2;5;0;0;0;1;7;0;0;0;0;3;7;5;0;7;0;6;7;7;2;3;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
2;21;2026;121110;01030300;9;9108;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;1;1;1;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
4;21;2026;121110;29101742;9;9108;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;2026;121110;01030100;9;9108;3;0;1;2;0;0;0;0;0;0;0;0;0;0;2;3;3;0;3;0;3;3;3;1;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
4;21;2026;121110;01030300;9;9108;4;0;0;2;2;0;0;0;0;0;3;0;0;1;0;0;4;0;4;0;4;4;4;2;2;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
6;21;2026;121110;29101716;9;9108;1;;;;1;;;;;;;;;;;;0;;0;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
6;21;2026;121110;29101718;9;9108;1;;;;1;;;;;;;;;;;;0;;0;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
6;21;2026;121110;29101729;9;9108;5;0;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;21;2026;121110;01030100;9;9108;5;;1;3;1;;;;;;;;;;;4;4;;4;;4;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
6;21;2026;121110;01030300;9;9108;12;;;;12;;;;;;;;;;;;12;;12;;12;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
3;21;2026;121110;29101728;9;9108;8;0;1;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;21;2026;121110;01030100;9;9108;8;0;0;6;2;0;0;0;0;1;6;0;0;0;7;8;6;0;7;0;6;7;8;3;5;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
3;21;2026;121110;01030300;9;9108;13;0;0;8;5;0;0;0;0;0;13;0;0;0;0;0;13;0;11;0;9;12;13;0;6;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
