Region;Servicio de salud;Comuna;Establecimiento;CodigoEstablecimiento;Mes;Numerador;Denominador;PorcentajeCumplimiento
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;1;0;2;0.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;2;1;1;100.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Antofagasta;103704;3;4;0;
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;1;2;2;100.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;2;4;4;100.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro Comunitario de Salud Familiar Coviefi;200621;3;2;2;100.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;1;16;17;94.12
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;2;12;13;92.31
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Antonio Rendic (Ex Cautín);103301;3;17;22;77.27
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Central Oriente de Antofagasta;103308;1;13;21;61.9
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Central Oriente de Antofagasta;103308;2;3;19;15.79
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Central Oriente de Antofagasta;103308;3;4;9;44.44
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Centro Sur de Antofagasta;103303;1;17;17;100.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Centro Sur de Antofagasta;103303;2;22;23;95.65
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Centro Sur de Antofagasta;103303;3;17;19;89.47
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Corvallis;103302;1;9;10;90.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Corvallis;103302;2;17;19;89.47
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Corvallis;103302;3;9;9;100.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Dra. Maria Cristina Rojas Neumann;200216;1;12;24;50.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Dra. Maria Cristina Rojas Neumann;200216;2;20;24;83.33
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Dra. Maria Cristina Rojas Neumann;200216;3;17;16;106.25
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Juan Pablo II de Antofagasta;103304;1;12;12;100.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Juan Pablo II de Antofagasta;103304;2;14;14;100.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Juan Pablo II de Antofagasta;103304;3;11;12;91.67
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Norte de Antofagasta;103300;1;22;25;88.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Norte de Antofagasta;103300;2;10;12;83.33
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Norte de Antofagasta;103300;3;11;20;55.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Valdivieso;200450;1;7;7;100.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Valdivieso;200450;2;9;10;90.0
Antofagasta;Servicio de Salud Antofagasta;Antofagasta;Centro de Salud Familiar Valdivieso;200450;3;18;19;94.74
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Alemania;103707;1;8;9;88.89
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Alemania;103707;2;2;3;66.67
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Alemania;103707;3;5;5;100.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Oasis;200241;1;1;1;100.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Oasis;200241;2;0;2;0.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Oasis;200241;3;2;2;100.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Sur;103705;1;4;6;66.67
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Sur;103705;2;3;3;100.0
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro Comunitario de Salud Familiar Sur;103705;3;5;9;55.56
Antofagasta;Servicio de Salud Antofagasta;Calama;Centro de Salud Familiar Alemania de Calama;103307;1;19;28;67.86
